Thanks to these artists for their contribution to this mod. Sorted alphabetically by pred:

[Pred] 						[Artist]

Agumon 						- rez
Apex 						- treebuddy
Asari 						- treebuddy
Avali 						- treebuddy
Avian 						- treebuddy
Avian blue 					- treebuddy
Avian orange 					- treebuddy
Bunny 						- treebuddy
Catlike 					- treebuddy
Chica 						- treebuddy
Chocobo Anthro 					- treebuddy
Chocobo Feral 					- treebuddy
Chubby Avian 					- Jeschke
Dom Bunny					- treebuddy
Dragon 						- treebuddy
Dragon Black 					- Vinderex
Dragon Blue 					- Vinderex
Dragon Brown 					- Vinderex
Dragon Green 					- Vinderex
Dragon Red 					- Vinderex
Dragon Yellow 					- Vinderex
Female Nude 					- treebuddy
Floran 						- treebuddy
Foxgirl 					- treebuddy
Freddy 						- treebuddy
Frog						- Sheights
Gardetrap 					- rez
Gardevoir 					- treebuddy
Giant Lucaria 					- treebuddy
Glitch 						- treebuddy
Glitch Alt Del 					- treebuddy
Glaze						- Glaze
Goodra						- treebuddy
Goodra Animated					- Glaze
Greninja 					- treebuddy
Greninja Male 					- treebuddy
Guilmon 					- rez
Harpy 						- treebuddy
Hylotl 						- treebuddy
Kangaroo 					- treebuddy
Lamina (All parts)				- treebuddy
Link Female 					- treebuddy
Linko						- treebuddy + linko
Lizard 						- treebuddy
Lucario 					- rez
Maid Pale 					- treebuddy
Maid Tan 					- treebuddy
Mana Lizards					- Sheights
Meloetta 					- treebuddy
Meloetta Human 					- treebuddy
Mewtwo 						- Rez
Midna 						- treebuddy
Miku 						- treebuddy
Miranda 					- treebuddy
Miss Fox					- treebuddy
Miss Wolf					- treebuddy
Muffet						- Glaze
Naga 						- pootisman24
Naga tail					- pootisman24
Ninetales 					- bobbidys
Plant						- Glaze
Quarian 					- treebuddy
Renamon 					- treebuddy
Rheyya						- treebuddy
Ruto						- treebuddy + cakemanisreal
Scrafy						- rez
Sergal						- treebuddy
Serperior 					- bobbidys
Shantae 					- treebuddy
Shark 						- treebuddy
Starfire 					- treebuddy
Succubus 					- pootisman24
Tallcreature 					- treebuddy
Tallcreature Black 				- treebuddy
Tally 						- treebuddy
Toriel						- Glaze
Veemon 						- rez
Wii Fit Trainer(s)				- treebuddy + cakemanisreal
Wolf 						- treebuddy
Wolfgirl 					- treebuddy
Wolfsit 					- treebuddy
Wolfy 						- treebuddy
Xenomorph 					- treebuddy
Yoko						- treebuddy
Yoshi 						- Sheights
Zelda						- treebuddy + cakemanisreal
Zero Suit Samus					- treebuddy + cakemanisreal
Zoroark 					- bobbidys

NPC Predators:

Avali						- Fenix
Dragon						- Treebuddy
Fox							- Treebuddy
Harpy						- Treebuddy + Sheights
Lamia						- Treebuddy
Slime						- ArgobargSoup
Wolf						- Treebuddy
